x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.332,-2.8965484266097894,3.386636880569797,-3.0986756108354703,-3.0807531069880123,-2.8930681245883676,-2.89383908501853,-2.5733312345473762
0.334,-2.871415685381071,3.4117696217985154,-2.6790634834492755,-2.9007395483180534,-2.8674270806839663,-2.8684729799355884,-2.5733312345473762
0.336,-2.8462829441523523,3.436902363027234,-3.002756491493843,-2.9005226330077085,-2.8417886732490096,-2.8431773801190796,-2.5733181447389817
0.338,-2.8211502029236337,3.4620351042559525,-2.8273865527385413,-2.9005226330077085,-2.816200116868358,-2.817953823347716,-2.5733181447389817
0.34,-2.796017461694915,3.487167845484671,-2.7618929434621333,-2.900357676327471,-2.790611560487706,-2.7927302665763523,-2.5731518546214986
0.342,-2.7708847204661975,3.5123005867133887,3.05182315114664,-2.900357676327471,-2.7651344235663347,-2.7676555897215236,1.5484986823615572
0.344,-2.74575197923748,3.5374333279421064,-2.563057521584761,-2.7315723528515745,-2.739786397546534,-2.742701255846015,-2.477036935519443
0.346,-2.7206192380087613,3.562566069170825,-2.3922714846681794,-2.7315723528515745,-2.7144383715267333,-2.717746921970506,-2.477036935519443
0.348,-2.6954864967800427,3.5876988103995435,-2.6559762177864643,-2.731454656001306,-2.689357721318145,-2.6930355448083407,-2.530513103635668
0.35,-2.670353755551324,3.612831551628262,-3.1355318848957663,-2.731454656001306,-2.6645014473974657,-2.668494116046401,-2.530513103635668
0.352,-2.6452210143226065,3.6379642928569798,-2.6655047220484547,-2.7313488966428157,-2.639645173476787,-2.643952687284461,-2.5305928090353826
0.354,-2.620088273093888,3.6630970340856983,-2.975595557489167,-2.7313488966428157,-2.6152419442540284,-2.619749861366384,-2.5305928090353826
0.356,-2.5949555318651694,3.688229775314417,-2.7179431640093377,-2.717145180699428,-2.5911609782554743,-2.5957589346974856,-2.5304566693686916
0.358,-2.569822790636451,3.7133625165431354,-2.4985444501647573,-2.5027905785317413,-2.5670800122569206,-2.571768008028587,-2.502529713936679
0.36,-2.5446900494077322,3.738495257771854,-2.2042039112761613,-2.5026022094236,-2.5436414900473845,-2.548195621685135,-2.5023413448285377
0.362,-2.5195573081790146,3.7636279990005717,-2.780597032944664,-2.5026022094236,-2.520610137304075,-2.5248604368086207,-2.5023413448285377
0.364,-2.494424566950296,3.78876074022929,-2.523958929541496,-2.502413840315458,-2.4975787845607655,-2.5015252519321067,-2.502152975720396
0.366,-2.4692918257215775,3.8138934814580088,-2.4831768626839703,-2.4836518277199673,-2.4753529068246296,-2.4786555687941614,-2.4834833224347777
0.368,-2.444159084492859,3.8390262226867273,-2.4670007953251707,-2.4670230414878414,-2.453591050371651,-2.45682793330056,-2.466914028991234
0.37,-2.4190263432641403,3.864158963915446,-2.1900187839311243,-2.43282004712507,-2.4318291939186727,-2.456090265444347,-2.432797996618931
0.372,-2.3938936020354227,3.8892917051441636,-2.247529220894243,-2.43265166031606,-2.410980500036722,-2.4558122757501564,-2.432629609809921
0.374,-2.368760860806704,3.914424446372882,-2.6278276656412665,-2.43265166031606,-2.390612622068709,-2.4556601468697807,-2.432629609809921
0.376,-2.3593360828459344,-2.3593360828459344,-2.392170433233795,-2.432526274752009,-2.379867318061508,-2.455508017989405,-2.43250422424587
0.378,-2.3656192681531145,-2.3656192681531145,-2.6190209072133586,-2.432526274752009,-2.3819639218169373,-2.4554961067181016,-2.43250422424587
